metric_id,company_id,company_name,reporting_date,metric_category,metric_name,metric_value,metric_unit,benchmark_value,benchmark_source,variance_percent,trend_direction,notes,created_date,last_modified_date,PM_METRIC_ID,CANONICAL_METRIC_ID,CANONICAL_COMPANY_ID
MET-019,COMP-009,BioTech Ventures,2023-06-30,Pipeline,Active Clinical Trials,4,Count,,N/A,,Up,Expanding clinical pipeline across multiple indications,2023-07-15,2023-07-15,MET-019,ed81b51a-6755-5926-b9e6-6a2feb34fc06,d5ba9f32-68b9-53c5-bfec-2a9484ef7349
MET-020,COMP-009,BioTech Ventures,2023-06-30,Pipeline,Phase II Success Rate,75.0,Percent,30.0,Biotech Industry,150.0,Up,Significantly higher than industry average success rate,2023-07-15,2023-07-15,MET-020,ef2afc7b-3f1f-5fff-bcc9-67d1e3cbf670,d5ba9f32-68b9-53c5-bfec-2a9484ef7349
MET-021,COMP-009,BioTech Ventures,2023-06-30,Financial,Cash Runway,24,Months,,N/A,,Stable,Sufficient funding to reach key clinical milestones,2023-07-15,2023-07-15,MET-021,595082f1-b168-5cbd-af6a-ad56233aa0e4,d5ba9f32-68b9-53c5-bfec-2a9484ef7349
MET-022,COMP-009,BioTech Ventures,2023-06-30,Innovation,Patent Portfolio,45,Count,,N/A,,Up,Strong IP protection across core technology platform,2023-07-15,2023-07-15,MET-022,a09914f8-fb49-5ee5-b246-be95734afb4f,d5ba9f32-68b9-53c5-bfec-2a9484ef7349
MET-023,COMP-005,FinTech Innovations,2023-09-30,Growth,Total Payment Volume,750000000,USD,,N/A,,Up,Strong growth in payment processing volume,2023-10-15,2023-10-15,MET-023,692f4145-0f99-540e-aa7b-7fa9f726462f,82cf8fd0-6e26-5ae8-81f1-093a1228edf1
MET-024,COMP-005,FinTech Innovations,2023-09-30,Growth,Active Merchants,12500,Count,,N/A,,Up,Expanding merchant base across Southeast Asia,2023-10-15,2023-10-15,MET-024,20a1541d-340a-50e4-8bd9-ccb797f23cb5,82cf8fd0-6e26-5ae8-81f1-093a1228edf1
MET-025,COMP-005,FinTech Innovations,2023-09-30,Risk,Credit Loss Rate,2.1,Percent,3.5,Regional Average,-40.0,Down,Superior credit underwriting and risk management,2023-10-15,2023-10-15,MET-025,be3f7308-7f29-596a-84dc-0d8f945fa780,82cf8fd0-6e26-5ae8-81f1-093a1228edf1
MET-026,COMP-005,FinTech Innovations,2023-09-30,Efficiency,Cost per Transaction,0.85,USD,1.20,Industry Average,-29.2,Down,Operational efficiency gains from technology platform,2023-10-15,2023-10-15,MET-026,b6a6de59-f945-51ab-b508-d5b780094a94,82cf8fd0-6e26-5ae8-81f1-093a1228edf1
MET-027,COMP-013,AgriTech Solutions,2023-09-30,Adoption,Acres Under Management,2500000,Acres,,N/A,,Up,Expanding coverage across key agricultural regions,2023-10-15,2023-10-15,MET-027,26a74d81-37d4-556a-a73d-76863401a400,e29cd83f-31f0-5d42-8b85-b50fd02891d8
MET-028,COMP-013,AgriTech Solutions,2023-09-30,Impact,Yield Improvement,18.5,Percent,,N/A,,Up,Demonstrating strong ROI for farmer customers,2023-10-15,2023-10-15,MET-028,e8bd448b-4106-5685-907f-8f2e566d83e0,e29cd83f-31f0-5d42-8b85-b50fd02891d8
MET-029,COMP-013,AgriTech Solutions,2023-09-30,Sustainability,Water Usage Reduction,25.0,Percent,,N/A,,Up,Significant environmental impact through precision irrigation,2023-10-15,2023-10-15,MET-029,19fd3ed5-8dae-5724-9352-3df4135dd4a2,e29cd83f-31f0-5d42-8b85-b50fd02891d8
MET-030,COMP-013,AgriTech Solutions,2023-09-30,Technology,Sensor Network Uptime,99.2,Percent,95.0,Industry Standard,4.4,Up,Reliable IoT infrastructure supporting data collection,2023-10-15,2023-10-15,MET-030,cd5d0f13-54e7-5b4f-90f9-7b25cc3b90b9,e29cd83f-31f0-5d42-8b85-b50fd02891d8
