financial_id,company_id,company_name,reporting_period,reporting_year,reporting_quarter,revenue,revenue_currency,gross_profit,gross_margin_percent,ebitda,ebitda_margin_percent,net_income,net_income_currency,total_assets,total_liabilities,shareholders_equity,cash_and_equivalents,accounts_receivable,inventory,accounts_payable,debt_total,debt_current,debt_long_term,capex,free_cash_flow,working_capital,employees_count,created_date,last_modified_date,PM_FINANCIAL_ID,CANONICAL_FINANCIAL_ID,CANONICAL_COMPANY_ID
FIN-016,COMP-002,MedDevice Innovations,Q2 2023,2023,2,13125000,EUR,7875000,60.0,2625000,20.0,1312500,EUR,26250000,10500000,15750000,5250000,1968750,3937500,1312500,5250000,1050000,4200000,656250,1968750,3281250,195,2023-07-15,2023-07-15,FIN-016,878cbbe9-ae9c-58c9-9865-71aa374f8e5f,973f92be-30df-5eef-b690-8123b249c8c3
FIN-017,COMP-009,BioTech Ventures,Q2 2023,2023,2,2500000,USD,1000000,40.0,-1500000,-60.0,-2000000,USD,15000000,5000000,10000000,8000000,375000,0,250000,0,0,0,750000,-1250000,125000,125,2023-07-15,2023-07-15,FIN-017,5cb649f9-ae25-5f23-b4f3-7901f5dc514d,d5ba9f32-68b9-53c5-bfec-2a9484ef7349
FIN-018,COMP-009,BioTech Ventures,Q3 2023,2023,3,3125000,USD,1250000,40.0,-1875000,-60.0,-2500000,USD,18750000,6250000,12500000,10000000,468750,0,312500,0,0,0,937500,-1562500,156250,130,2023-10-15,2023-10-15,FIN-018,c8ccba1c-aa26-58cd-9cae-5b9223d818e2,d5ba9f32-68b9-53c5-bfec-2a9484ef7349
FIN-019,COMP-009,BioTech Ventures,Q4 2023,2023,4,3750000,USD,1500000,40.0,-2250000,-60.0,-3000000,USD,22500000,7500000,15000000,12000000,562500,0,375000,0,0,0,1125000,-1875000,187500,135,2024-01-15,2024-01-15,FIN-019,1b9fee69-5b36-588a-94e0-6865a60200f3,d5ba9f32-68b9-53c5-bfec-2a9484ef7349
FIN-020,COMP-005,FinTech Innovations,Q3 2023,2023,3,3750000,USD,2625000,70.0,375000,10.0,187500,USD,12500000,3750000,8750000,5000000,562500,0,281250,0,0,0,187500,187500,281250,85,2023-10-15,2023-10-15,FIN-020,0bf41eac-534f-5610-8a00-6f1f1cf219ea,82cf8fd0-6e26-5ae8-81f1-093a1228edf1
FIN-021,COMP-005,FinTech Innovations,Q4 2023,2023,4,4375000,USD,3062500,70.0,437500,10.0,218750,USD,14375000,4312500,10062500,5750000,656250,0,328125,0,0,0,218750,218750,328125,90,2024-01-15,2024-01-15,FIN-021,f9e879b4-57d6-5b4f-89ff-48734eea480c,82cf8fd0-6e26-5ae8-81f1-093a1228edf1
FIN-022,COMP-013,AgriTech Solutions,Q4 2022,2022,4,11250000,USD,6750000,60.0,2250000,20.0,1125000,USD,22500000,9000000,13500000,4500000,1687500,0,843750,0,0,0,562500,1687500,843750,155,2023-01-15,2023-01-15,FIN-022,765eaff0-5d99-510d-bb52-a4a4e7c3f828,e29cd83f-31f0-5d42-8b85-b50fd02891d8
FIN-023,COMP-013,AgriTech Solutions,Q1 2023,2023,1,12500000,USD,7500000,60.0,2500000,20.0,1250000,USD,25000000,10000000,15000000,5000000,1875000,0,937500,0,0,0,625000,1875000,937500,160,2023-04-15,2023-04-15,FIN-023,e8a989ef-234e-57f4-b5db-71447fccd38c,e29cd83f-31f0-5d42-8b85-b50fd02891d8
FIN-024,COMP-013,AgriTech Solutions,Q2 2023,2023,2,13750000,USD,8250000,60.0,2750000,20.0,1375000,USD,27500000,11000000,16500000,5500000,2062500,0,1031250,0,0,0,687500,2062500,1031250,165,2023-07-15,2023-07-15,FIN-024,267cd7c5-58af-5f25-8450-440938ebb04d,e29cd83f-31f0-5d42-8b85-b50fd02891d8
FIN-025,COMP-013,AgriTech Solutions,Q3 2023,2023,3,15000000,USD,9000000,60.0,3000000,20.0,1500000,USD,30000000,12000000,18000000,6000000,2250000,0,1125000,0,0,0,750000,2250000,1125000,170,2023-10-15,2023-10-15,FIN-025,65b5627f-ee89-57dd-990c-0908f29f9912,e29cd83f-31f0-5d42-8b85-b50fd02891d8
